path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	8.1	59.863695	30.470571
0.50	8.0	59.863692	30.470565
1.00	8.0	59.863688	30.470559
1.50	8.0	59.863685	30.470553
2.00	8.0	59.863682	30.470546
2.50	8.0	59.863679	30.470540
3.00	8.0	59.863675	30.470534
3.50	8.0	59.863672	30.470528
4.00	8.0	59.863669	30.470522
4.50	8.0	59.863666	30.470515
5.00	8.0	59.863662	30.470509
5.50	8.0	59.863659	30.470503
6.00	8.0	59.863656	30.470497
6.50	8.0	59.863653	30.470491
7.00	8.0	59.863649	30.470485
7.50	8.0	59.863646	30.470478
8.00	8.0	59.863643	30.470472
8.50	8.0	59.863639	30.470466
9.00	8.0	59.863636	30.470460
9.50	8.0	59.863633	30.470454
10.00	8.0	59.863629	30.470448
10.50	8.0	59.863626	30.470443
11.00	60.0	59.863622	30.470437
11.50	60.0	59.863619	30.470432
12.00	60.0	59.863615	30.470427
12.50	60.0	59.863611	30.470421
13.00	60.0	59.863608	30.470416
13.50	60.0	59.863604	30.470411
14.00	60.0	59.863600	30.470407
14.50	60.0	59.863596	30.470402
15.00	60.0	59.863592	30.470397
15.50	60.0	59.863588	30.470393
16.00	60.0	59.863585	30.470388
16.50	60.0	59.863581	30.470384
17.00	60.0	59.863577	30.470380
17.50	60.0	59.863573	30.470376
18.00	60.0	59.863568	30.470372
18.50	60.0	59.863564	30.470368
19.00	60.0	59.863560	30.470364
19.50	60.0	59.863556	30.470361
20.00	60.0	59.863552	30.470357
20.50	60.0	59.863548	30.470353
21.00	60.0	59.863544	30.470349
21.50	60.0	59.863540	30.470345
22.00	60.0	59.863536	30.470341
22.50	60.0	59.863532	30.470338
23.00	60.0	59.863528	30.470334
23.50	60.0	59.863524	30.470330
24.00	60.0	59.863520	30.470326
24.50	60.0	59.863516	30.470322
25.00	60.0	59.863512	30.470318
25.50	60.0	59.863507	30.470314
26.00	60.0	59.863503	30.470311
26.50	60.0	59.863499	30.470307
27.00	60.0	59.863495	30.470303
27.50	60.0	59.863491	30.470299
28.00	60.0	59.863487	30.470295
28.50	60.0	59.863483	30.470291
29.00	60.0	59.863479	30.470288
29.50	60.0	59.863475	30.470284
30.00	60.0	59.863471	30.470280
30.50	60.0	59.863467	30.470276
31.00	60.0	59.863463	30.470272
31.50	60.0	59.863459	30.470268
32.00	60.0	59.863455	30.470265
32.50	60.0	59.863450	30.470261
33.00	60.0	59.863446	30.470257
33.50	60.0	59.863442	30.470253
34.00	60.0	59.863438	30.470249
34.50	60.0	59.863434	30.470245
35.00	60.0	59.863430	30.470241
35.50	60.0	59.863426	30.470238
36.00	60.0	59.863422	30.470234
36.50	60.0	59.863418	30.470230
37.00	60.0	59.863414	30.470226
37.50	60.0	59.863410	30.470222
38.00	60.0	59.863406	30.470218
38.50	60.0	59.863402	30.470215
39.00	60.0	59.863398	30.470211
39.50	60.0	59.863394	30.470207
40.00	60.0	59.863389	30.470203
40.50	60.0	59.863385	30.470199
41.00	60.0	59.863381	30.470195
41.50	60.0	59.863377	30.470192
42.00	60.0	59.863373	30.470188
42.50	60.0	59.863369	30.470184
43.00	60.0	59.863365	30.470180
43.50	60.0	59.863361	30.470176
44.00	60.0	59.863357	30.470172
44.50	60.0	59.863353	30.470168
45.00	60.0	59.863349	30.470165
45.50	60.0	59.863345	30.470161
46.00	60.0	59.863341	30.470157
46.50	60.0	59.863337	30.470153
47.00	60.0	59.863333	30.470149
47.50	60.0	59.863328	30.470145
48.00	60.0	59.863324	30.470142
48.50	60.0	59.863320	30.470138
49.00	60.0	59.863316	30.470134
49.50	60.0	59.863312	30.470130
50.00	60.0	59.863308	30.470126
50.50	60.0	59.863304	30.470122
51.00	60.0	59.863300	30.470118
51.50	60.0	59.863296	30.470115
52.00	60.0	59.863292	30.470111
52.50	60.0	59.863288	30.470107
53.00	60.0	59.863284	30.470103
53.50	60.0	59.863280	30.470099
54.00	60.0	59.863276	30.470095
54.50	60.0	59.863271	30.470092
55.00	60.0	59.863267	30.470088
55.50	60.0	59.863263	30.470084
56.00	60.0	59.863259	30.470080
56.50	60.0	59.863255	30.470076
57.00	60.0	59.863251	30.470072
57.50	60.0	59.863247	30.470069
58.00	60.0	59.863243	30.470065
58.50	60.0	59.863239	30.470061
59.00	60.0	59.863235	30.470057
59.50	60.0	59.863231	30.470053
60.00	60.0	59.863227	30.470049
60.50	60.0	59.863223	30.470045
61.00	60.0	59.863219	30.470042
61.50	60.0	59.863215	30.470038
62.00	60.0	59.863210	30.470034
62.50	60.0	59.863206	30.470030
63.00	60.0	59.863202	30.470026
63.50	60.0	59.863198	30.470022
64.00	60.0	59.863194	30.470019
64.50	60.0	59.863190	30.470015
65.00	60.0	59.863186	30.470011
65.50	60.0	59.863182	30.470007
66.00	60.0	59.863178	30.470003
66.50	60.0	59.863174	30.469999
67.00	60.0	59.863170	30.469996
67.50	60.0	59.863166	30.469992
68.00	60.0	59.863162	30.469988
68.50	60.0	59.863158	30.469984
69.00	60.0	59.863153	30.469980
69.50	60.0	59.863149	30.469976
70.00	60.0	59.863145	30.469972
70.50	60.0	59.863141	30.469969
71.00	60.0	59.863137	30.469965
71.50	60.0	59.863133	30.469961
72.00	60.0	59.863129	30.469957
72.50	60.0	59.863125	30.469953
73.00	60.0	59.863121	30.469949
73.50	60.0	59.863117	30.469946
74.00	60.0	59.863113	30.469942
74.50	60.0	59.863109	30.469938
75.00	60.0	59.863105	30.469934
75.50	60.0	59.863101	30.469930
76.00	60.0	59.863097	30.469926
76.50	60.0	59.863092	30.469922
77.00	60.0	59.863088	30.469919
77.50	60.0	59.863084	30.469915
78.00	60.0	59.863080	30.469911
78.50	60.0	59.863076	30.469907
79.00	60.0	59.863072	30.469903
79.50	60.0	59.863068	30.469899
80.00	60.0	59.863064	30.469896
80.50	60.0	59.863060	30.469892
81.00	60.0	59.863056	30.469888
81.50	60.0	59.863052	30.469884
82.00	60.0	59.863048	30.469880
82.50	60.0	59.863044	30.469876
83.00	60.0	59.863040	30.469873
83.50	60.0	59.863036	30.469869
84.00	60.0	59.863031	30.469865
84.50	60.0	59.863027	30.469861
85.00	60.0	59.863023	30.469857
85.50	60.0	59.863019	30.469853
86.00	60.0	59.863015	30.469849
86.50	60.0	59.863011	30.469846
87.00	60.0	59.863007	30.469842
87.50	60.0	59.863003	30.469838
88.00	60.0	59.862999	30.469834
88.50	60.0	59.862995	30.469830
89.00	60.0	59.862991	30.469826
89.50	60.0	59.862987	30.469823
90.00	60.0	59.862983	30.469819
90.50	60.0	59.862979	30.469815
91.00	60.0	59.862974	30.469811
91.50	60.0	59.862970	30.469807
92.00	60.0	59.862966	30.469803
92.50	60.0	59.862962	30.469799
93.00	60.0	59.862958	30.469796
93.50	60.0	59.862954	30.469792
94.00	60.0	59.862950	30.469788
94.50	60.0	59.862946	30.469784
95.00	60.0	59.862942	30.469780
95.50	60.0	59.862938	30.469776
96.00	60.0	59.862934	30.469773
96.50	60.0	59.862930	30.469769
