path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	60.0	59.863777	30.470258
0.50	8.0	59.863774	30.470252
1.00	8.0	59.863771	30.470246
1.50	8.0	59.863767	30.470239
2.00	8.0	59.863764	30.470233
2.50	8.0	59.863761	30.470227
3.00	8.0	59.863758	30.470220
3.50	8.0	59.863755	30.470214
4.00	8.0	59.863751	30.470208
4.50	8.0	59.863748	30.470202
5.00	8.0	59.863745	30.470195
5.50	8.0	59.863742	30.470189
6.00	8.0	59.863739	30.470183
6.50	8.0	59.863735	30.470176
7.00	8.0	59.863732	30.470170
7.50	8.0	59.863729	30.470164
8.00	8.0	59.863726	30.470158
8.50	8.0	59.863723	30.470151
9.00	8.0	59.863719	30.470145
9.50	8.0	59.863716	30.470139
10.00	8.0	59.863713	30.470133
10.50	8.0	59.863709	30.470127
11.00	60.0	59.863706	30.470121
11.50	60.0	59.863703	30.470115
12.00	60.0	59.863699	30.470109
12.50	60.0	59.863696	30.470104
13.00	60.0	59.863692	30.470098
13.50	60.0	59.863688	30.470093
14.00	60.0	59.863685	30.470087
14.50	60.0	59.863681	30.470082
15.00	60.0	59.863678	30.470077
15.50	60.0	59.863674	30.470072
16.00	60.0	59.863670	30.470067
16.50	60.0	59.863666	30.470062
17.00	60.0	59.863663	30.470057
17.50	60.0	59.863659	30.470052
18.00	60.0	59.863655	30.470048
18.50	60.0	59.863651	30.470043
19.00	60.0	59.863647	30.470039
19.50	60.0	59.863643	30.470034
20.00	60.0	59.863639	30.470030
20.50	60.0	59.863635	30.470026
21.00	60.0	59.863631	30.470022
21.50	60.0	59.863627	30.470018
22.00	60.0	59.863623	30.470014
22.50	60.0	59.863619	30.470010
23.00	60.0	59.863615	30.470006
23.50	60.0	59.863611	30.470002
24.00	60.0	59.863607	30.469998
24.50	60.0	59.863603	30.469995
25.00	60.0	59.863599	30.469991
25.50	60.0	59.863595	30.469987
26.00	60.0	59.863591	30.469983
26.50	60.0	59.863586	30.469979
27.00	60.0	59.863582	30.469975
27.50	60.0	59.863578	30.469972
28.00	60.0	59.863574	30.469968
28.50	60.0	59.863570	30.469964
29.00	60.0	59.863566	30.469960
29.50	60.0	59.863562	30.469956
30.00	60.0	59.863558	30.469952
30.50	60.0	59.863554	30.469949
31.00	60.0	59.863550	30.469945
31.50	60.0	59.863546	30.469941
32.00	60.0	59.863542	30.469937
32.50	60.0	59.863538	30.469933
33.00	60.0	59.863534	30.469929
33.50	60.0	59.863530	30.469926
34.00	60.0	59.863525	30.469922
34.50	60.0	59.863521	30.469918
35.00	60.0	59.863517	30.469914
35.50	60.0	59.863513	30.469910
36.00	60.0	59.863509	30.469906
36.50	60.0	59.863505	30.469903
37.00	60.0	59.863501	30.469899
37.50	60.0	59.863497	30.469895
38.00	60.0	59.863493	30.469891
38.50	60.0	59.863489	30.469887
39.00	60.0	59.863485	30.469883
39.50	60.0	59.863481	30.469880
40.00	60.0	59.863477	30.469876
40.50	60.0	59.863473	30.469872
41.00	60.0	59.863468	30.469868
41.50	60.0	59.863464	30.469864
42.00	60.0	59.863460	30.469860
42.50	60.0	59.863456	30.469857
43.00	60.0	59.863452	30.469853
43.50	60.0	59.863448	30.469849
44.00	60.0	59.863444	30.469845
44.50	60.0	59.863440	30.469841
45.00	60.0	59.863436	30.469837
45.50	60.0	59.863432	30.469834
46.00	60.0	59.863428	30.469830
46.50	60.0	59.863424	30.469826
47.00	60.0	59.863420	30.469822
47.50	60.0	59.863416	30.469818
48.00	60.0	59.863411	30.469814
48.50	60.0	59.863407	30.469811
49.00	60.0	59.863403	30.469807
49.50	60.0	59.863399	30.469803
50.00	60.0	59.863395	30.469799
50.50	60.0	59.863391	30.469795
51.00	60.0	59.863387	30.469792
51.50	60.0	59.863383	30.469788
52.00	60.0	59.863379	30.469784
52.50	60.0	59.863375	30.469780
53.00	60.0	59.863371	30.469776
53.50	60.0	59.863367	30.469772
54.00	60.0	59.863363	30.469769
54.50	60.0	59.863359	30.469765
55.00	60.0	59.863354	30.469761
55.50	60.0	59.863350	30.469757
56.00	60.0	59.863346	30.469753
56.50	60.0	59.863342	30.469749
57.00	60.0	59.863338	30.469746
57.50	60.0	59.863334	30.469742
58.00	60.0	59.863330	30.469738
58.50	60.0	59.863326	30.469734
59.00	60.0	59.863322	30.469730
59.50	60.0	59.863318	30.469726
60.00	60.0	59.863314	30.469723
60.50	60.0	59.863310	30.469719
61.00	60.0	59.863306	30.469715
61.50	60.0	59.863302	30.469711
62.00	60.0	59.863297	30.469707
62.50	60.0	59.863293	30.469703
63.00	60.0	59.863289	30.469700
63.50	60.0	59.863285	30.469696
64.00	60.0	59.863281	30.469692
64.50	60.0	59.863277	30.469688
65.00	60.0	59.863273	30.469684
65.50	60.0	59.863269	30.469680
66.00	60.0	59.863265	30.469677
66.50	60.0	59.863261	30.469673
67.00	60.0	59.863257	30.469669
67.50	60.0	59.863253	30.469665
68.00	60.0	59.863249	30.469661
68.50	60.0	59.863245	30.469657
69.00	60.0	59.863240	30.469654
69.50	60.0	59.863236	30.469650
70.00	60.0	59.863232	30.469646
70.50	60.0	59.863228	30.469642
71.00	60.0	59.863224	30.469638
71.50	60.0	59.863220	30.469634
72.00	60.0	59.863216	30.469631
72.50	60.0	59.863212	30.469627
73.00	60.0	59.863208	30.469623
73.50	60.0	59.863204	30.469619
74.00	60.0	59.863200	30.469615
74.50	60.0	59.863196	30.469611
75.00	60.0	59.863192	30.469608
75.50	60.0	59.863188	30.469604
76.00	60.0	59.863183	30.469600
76.50	60.0	59.863179	30.469596
77.00	60.0	59.863175	30.469592
77.50	60.0	59.863171	30.469588
78.00	60.0	59.863167	30.469585
78.50	60.0	59.863163	30.469581
79.00	60.0	59.863159	30.469577
79.50	60.0	59.863155	30.469573
80.00	60.0	59.863151	30.469569
80.50	60.0	59.863147	30.469565
81.00	60.0	59.863143	30.469562
81.50	60.0	59.863139	30.469558
82.00	60.0	59.863135	30.469554
82.50	60.0	59.863131	30.469550
83.00	60.0	59.863126	30.469546
83.50	60.0	59.863122	30.469542
84.00	60.0	59.863118	30.469539
84.50	60.0	59.863114	30.469535
85.00	60.0	59.863110	30.469531
85.50	60.0	59.863106	30.469527
86.00	60.0	59.863102	30.469523
86.50	60.0	59.863098	30.469519
87.00	60.0	59.863094	30.469516
87.50	60.0	59.863090	30.469512
88.00	60.0	59.863086	30.469508
88.50	60.0	59.863082	30.469504
89.00	60.0	59.863078	30.469500
89.50	60.0	59.863074	30.469496
90.00	60.0	59.863069	30.469493
90.50	60.0	59.863065	30.469489
91.00	60.0	59.863061	30.469485
91.50	60.0	59.863057	30.469481
92.00	60.0	59.863053	30.469477
92.50	60.0	59.863049	30.469473
93.00	60.0	59.863045	30.469470
93.50	60.0	59.863041	30.469466
94.00	60.0	59.863037	30.469462
94.50	60.0	59.863033	30.469458
95.00	60.0	59.863029	30.469454
95.50	60.0	59.863025	30.469450
96.00	60.0	59.863021	30.469447
96.50	60.0	59.863017	30.469443
97.00	60.0	59.863012	30.469439
97.50	60.0	59.863008	30.469435
98.00	60.0	59.863004	30.469431
98.50	60.0	59.863000	30.469428
99.00	60.0	59.862996	30.469424
99.50	60.0	59.862992	30.469420
100.00	60.0	59.862988	30.469416
100.50	60.0	59.862984	30.469412
101.00	60.0	59.862980	30.469408
101.50	60.0	59.862976	30.469405
102.00	60.0	59.862972	30.469401
102.50	60.0	59.862968	30.469397
103.00	60.0	59.862964	30.469393
103.50	60.0	59.862960	30.469389
104.00	60.0	59.862955	30.469385
104.50	60.0	59.862951	30.469382
105.00	60.0	59.862947	30.469378
105.50	60.0	59.862943	30.469374
106.00	60.0	59.862939	30.469370
106.50	60.0	59.862935	30.469366
107.00	60.0	59.862931	30.469362
107.50	60.0	59.862927	30.469359
108.00	60.0	59.862923	30.469355
108.50	60.0	59.862919	30.469351
109.00	60.0	59.862915	30.469347
109.50	60.0	59.862911	30.469343
110.00	60.0	59.862907	30.469339
110.50	60.0	59.862903	30.469336
111.00	60.0	59.862898	30.469332
111.50	60.0	59.862894	30.469328
112.00	60.0	59.862890	30.469324
112.50	60.0	59.862886	30.469320
113.00	60.0	59.862882	30.469316
113.50	60.0	59.862878	30.469313
114.00	60.0	59.862874	30.469309
114.50	60.0	59.862870	30.469305
115.00	60.0	59.862866	30.469301
115.50	60.0	59.862862	30.469297
116.00	60.0	59.862858	30.469293
116.50	60.0	59.862854	30.469290
117.00	60.0	59.862850	30.469286
117.50	60.0	59.862846	30.469282
118.00	60.0	59.862841	30.469278
118.50	60.0	59.862837	30.469274
119.00	60.0	59.862833	30.469270
119.50	60.0	59.862829	30.469267
120.00	60.0	59.862825	30.469263
120.50	60.0	59.862821	30.469259
121.00	60.0	59.862817	30.469255
121.50	60.0	59.862813	30.469251
122.00	60.0	59.862809	30.469247
122.50	60.0	59.862805	30.469244
123.00	60.0	59.862801	30.469240
123.50	60.0	59.862797	30.469236
124.00	60.0	59.862793	30.469232
124.50	60.0	59.862789	30.469228
125.00	60.0	59.862784	30.469224
125.50	60.0	59.862780	30.469221
126.00	60.0	59.862776	30.469217
126.50	60.0	59.862772	30.469213
127.00	60.0	59.862768	30.469209
127.50	60.0	59.862764	30.469205
128.00	60.0	59.862760	30.469201
128.50	60.0	59.862756	30.469198
129.00	60.0	59.862752	30.469194
129.50	60.0	59.862748	30.469190
130.00	60.0	59.862744	30.469186
130.50	60.0	59.862740	30.469182
131.00	60.0	59.862736	30.469178
131.50	60.0	59.862732	30.469175
132.00	60.0	59.862727	30.469171
132.50	60.0	59.862723	30.469167
133.00	60.0	59.862719	30.469163
133.50	60.0	59.862715	30.469159
134.00	60.0	59.862711	30.469155
134.50	60.0	59.862707	30.469152
135.00	60.0	59.862703	30.469148
135.50	60.0	59.862699	30.469144
136.00	60.0	59.862695	30.469140
136.50	60.0	59.862691	30.469136
137.00	60.0	59.862687	30.469132
137.50	60.0	59.862683	30.469129
138.00	60.0	59.862679	30.469125
138.50	60.0	59.862675	30.469121
139.00	60.0	59.862670	30.469117
139.50	60.0	59.862666	30.469113
140.00	60.0	59.862662	30.469109
140.50	60.0	59.862658	30.469106
141.00	60.0	59.862654	30.469102
141.50	60.0	59.862650	30.469098
142.00	60.0	59.862646	30.469094
142.50	60.0	59.862642	30.469090
143.00	60.0	59.862638	30.469087
143.50	60.0	59.862634	30.469083
144.00	60.0	59.862630	30.469079
144.50	60.0	59.862626	30.469075
145.00	60.0	59.862622	30.469071
145.50	60.0	59.862618	30.469067
146.00	60.0	59.862613	30.469064
146.50	60.0	59.862609	30.469060
147.00	60.0	59.862605	30.469056
147.50	60.0	59.862601	30.469052
148.00	60.0	59.862597	30.469048
148.50	60.0	59.862593	30.469044
149.00	60.0	59.862589	30.469041
149.50	60.0	59.862585	30.469037
150.00	60.0	59.862581	30.469033
150.50	60.0	59.862577	30.469029
