path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833264	30.499498
0.50	15.0	59.833261	30.499505
1.00	15.0	59.833259	30.499512
1.50	15.0	59.833256	30.499520
2.00	16.3	59.833253	30.499527
2.50	15.7	59.833251	30.499534
3.00	15.1	59.833248	30.499541
3.50	14.4	59.833245	30.499549
4.00	13.7	59.833243	30.499556
4.50	13.0	59.833240	30.499563
5.00	12.2	59.833237	30.499570
5.50	11.4	59.833235	30.499578
6.00	10.5	59.833232	30.499585
6.50	10.0	59.833231	30.499589
