path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	60.0	59.863733	30.470417
0.50	8.0	59.863730	30.470410
1.00	8.0	59.863726	30.470403
1.50	8.0	59.863723	30.470397
2.00	8.0	59.863720	30.470390
2.50	8.0	59.863717	30.470384
3.00	8.0	59.863714	30.470377
3.50	8.0	59.863711	30.470371
4.00	8.0	59.863708	30.470364
4.50	8.0	59.863705	30.470358
5.00	8.0	59.863702	30.470351
5.50	8.0	59.863699	30.470345
6.00	8.0	59.863696	30.470338
6.50	8.0	59.863692	30.470332
7.00	8.0	59.863689	30.470325
7.50	8.0	59.863686	30.470319
8.00	8.0	59.863683	30.470312
8.50	8.0	59.863680	30.470306
9.00	8.0	59.863677	30.470299
9.50	8.0	59.863674	30.470293
10.00	8.0	59.863670	30.470287
10.50	8.0	59.863667	30.470281
11.00	60.0	59.863664	30.470275
11.50	60.0	59.863660	30.470270
12.00	60.0	59.863657	30.470264
12.50	60.0	59.863653	30.470259
13.00	60.0	59.863649	30.470253
13.50	60.0	59.863646	30.470248
14.00	60.0	59.863642	30.470243
14.50	60.0	59.863638	30.470238
15.00	60.0	59.863634	30.470234
15.50	60.0	59.863630	30.470229
16.00	60.0	59.863626	30.470225
16.50	60.0	59.863622	30.470220
17.00	60.0	59.863618	30.470216
17.50	60.0	59.863614	30.470212
18.00	60.0	59.863610	30.470209
18.50	60.0	59.863606	30.470205
19.00	60.0	59.863602	30.470201
19.50	60.0	59.863598	30.470197
20.00	60.0	59.863594	30.470193
20.50	60.0	59.863590	30.470189
21.00	60.0	59.863586	30.470186
21.50	60.0	59.863582	30.470182
22.00	60.0	59.863578	30.470178
22.50	60.0	59.863574	30.470174
23.00	60.0	59.863570	30.470170
23.50	60.0	59.863566	30.470166
24.00	60.0	59.863562	30.470162
24.50	60.0	59.863557	30.470159
25.00	60.0	59.863553	30.470155
25.50	60.0	59.863549	30.470151
26.00	60.0	59.863545	30.470147
26.50	60.0	59.863541	30.470143
27.00	60.0	59.863537	30.470139
27.50	60.0	59.863533	30.470135
28.00	60.0	59.863529	30.470132
28.50	60.0	59.863525	30.470128
29.00	60.0	59.863521	30.470124
29.50	60.0	59.863517	30.470120
30.00	60.0	59.863513	30.470116
30.50	60.0	59.863509	30.470112
31.00	60.0	59.863505	30.470109
31.50	60.0	59.863501	30.470105
32.00	60.0	59.863496	30.470101
32.50	60.0	59.863492	30.470097
33.00	60.0	59.863488	30.470093
33.50	60.0	59.863484	30.470089
34.00	60.0	59.863480	30.470085
34.50	60.0	59.863476	30.470082
35.00	60.0	59.863472	30.470078
35.50	60.0	59.863468	30.470074
36.00	60.0	59.863464	30.470070
36.50	60.0	59.863460	30.470066
37.00	60.0	59.863456	30.470062
37.50	60.0	59.863452	30.470059
38.00	60.0	59.863448	30.470055
38.50	60.0	59.863444	30.470051
39.00	60.0	59.863440	30.470047
39.50	60.0	59.863435	30.470043
40.00	60.0	59.863431	30.470039
40.50	60.0	59.863427	30.470035
41.00	60.0	59.863423	30.470032
41.50	60.0	59.863419	30.470028
42.00	60.0	59.863415	30.470024
42.50	60.0	59.863411	30.470020
43.00	60.0	59.863407	30.470016
43.50	60.0	59.863403	30.470012
44.00	60.0	59.863399	30.470008
44.50	60.0	59.863395	30.470005
45.00	60.0	59.863391	30.470001
45.50	60.0	59.863387	30.469997
46.00	60.0	59.863383	30.469993
46.50	60.0	59.863378	30.469989
47.00	60.0	59.863374	30.469985
47.50	60.0	59.863370	30.469982
48.00	60.0	59.863366	30.469978
48.50	60.0	59.863362	30.469974
49.00	60.0	59.863358	30.469970
49.50	60.0	59.863354	30.469966
50.00	60.0	59.863350	30.469962
50.50	60.0	59.863346	30.469958
51.00	60.0	59.863342	30.469955
51.50	60.0	59.863338	30.469951
52.00	60.0	59.863334	30.469947
52.50	60.0	59.863330	30.469943
53.00	60.0	59.863326	30.469939
53.50	60.0	59.863322	30.469935
54.00	60.0	59.863317	30.469932
54.50	60.0	59.863313	30.469928
55.00	60.0	59.863309	30.469924
55.50	60.0	59.863305	30.469920
56.00	60.0	59.863301	30.469916
56.50	60.0	59.863297	30.469912
57.00	60.0	59.863293	30.469908
57.50	60.0	59.863289	30.469905
58.00	60.0	59.863285	30.469901
58.50	60.0	59.863281	30.469897
59.00	60.0	59.863277	30.469893
59.50	60.0	59.863273	30.469889
60.00	60.0	59.863269	30.469885
60.50	60.0	59.863265	30.469882
61.00	60.0	59.863261	30.469878
61.50	60.0	59.863256	30.469874
62.00	60.0	59.863252	30.469870
62.50	60.0	59.863248	30.469866
63.00	60.0	59.863244	30.469862
63.50	60.0	59.863240	30.469858
64.00	60.0	59.863236	30.469855
64.50	60.0	59.863232	30.469851
65.00	60.0	59.863228	30.469847
65.50	60.0	59.863224	30.469843
66.00	60.0	59.863220	30.469839
66.50	60.0	59.863216	30.469835
67.00	60.0	59.863212	30.469831
67.50	60.0	59.863208	30.469828
68.00	60.0	59.863204	30.469824
68.50	60.0	59.863200	30.469820
69.00	60.0	59.863195	30.469816
69.50	60.0	59.863191	30.469812
70.00	60.0	59.863187	30.469808
70.50	60.0	59.863183	30.469805
71.00	60.0	59.863179	30.469801
71.50	60.0	59.863175	30.469797
72.00	60.0	59.863171	30.469793
72.50	60.0	59.863167	30.469789
73.00	60.0	59.863163	30.469785
73.50	60.0	59.863159	30.469781
74.00	60.0	59.863155	30.469778
74.50	60.0	59.863151	30.469774
75.00	60.0	59.863147	30.469770
75.50	60.0	59.863143	30.469766
76.00	60.0	59.863139	30.469762
76.50	60.0	59.863134	30.469758
77.00	60.0	59.863130	30.469755
77.50	60.0	59.863126	30.469751
78.00	60.0	59.863122	30.469747
78.50	60.0	59.863118	30.469743
79.00	60.0	59.863114	30.469739
79.50	60.0	59.863110	30.469735
80.00	60.0	59.863106	30.469731
80.50	60.0	59.863102	30.469728
81.00	60.0	59.863098	30.469724
81.50	60.0	59.863094	30.469720
82.00	60.0	59.863090	30.469716
82.50	60.0	59.863086	30.469712
83.00	60.0	59.863082	30.469708
83.50	60.0	59.863078	30.469705
84.00	60.0	59.863073	30.469701
84.50	60.0	59.863069	30.469697
85.00	60.0	59.863065	30.469693
85.50	60.0	59.863061	30.469689
86.00	60.0	59.863057	30.469685
86.50	60.0	59.863053	30.469681
87.00	60.0	59.863049	30.469678
87.50	60.0	59.863045	30.469674
88.00	60.0	59.863041	30.469670
88.50	60.0	59.863037	30.469666
89.00	60.0	59.863033	30.469662
89.50	60.0	59.863029	30.469658
90.00	60.0	59.863025	30.469654
90.50	60.0	59.863021	30.469651
91.00	60.0	59.863017	30.469647
91.50	60.0	59.863012	30.469643
92.00	60.0	59.863008	30.469639
92.50	60.0	59.863004	30.469635
93.00	60.0	59.863000	30.469631
93.50	60.0	59.862996	30.469628
94.00	60.0	59.862992	30.469624
94.50	60.0	59.862988	30.469620
95.00	60.0	59.862984	30.469616
95.50	60.0	59.862980	30.469612
96.00	60.0	59.862976	30.469608
96.50	60.0	59.862972	30.469604
97.00	60.0	59.862968	30.469601
97.50	60.0	59.862964	30.469597
98.00	60.0	59.862960	30.469593
98.50	60.0	59.862955	30.469589
99.00	60.0	59.862951	30.469585
99.50	60.0	59.862947	30.469581
100.00	60.0	59.862943	30.469578
100.50	60.0	59.862939	30.469574
101.00	60.0	59.862935	30.469570
101.50	60.0	59.862931	30.469566
102.00	60.0	59.862927	30.469562
102.50	60.0	59.862923	30.469558
103.00	60.0	59.862919	30.469554
103.50	60.0	59.862915	30.469551
104.00	60.0	59.862911	30.469547
104.50	60.0	59.862907	30.469543
105.00	60.0	59.862903	30.469539
105.50	60.0	59.862899	30.469535
106.00	60.0	59.862894	30.469531
106.50	60.0	59.862890	30.469527
107.00	60.0	59.862886	30.469524
107.50	60.0	59.862882	30.469520
108.00	60.0	59.862878	30.469516
108.50	60.0	59.862874	30.469512
109.00	60.0	59.862870	30.469508
109.50	60.0	59.862866	30.469504
110.00	60.0	59.862862	30.469501
110.50	60.0	59.862858	30.469497
111.00	60.0	59.862854	30.469493
111.50	60.0	59.862850	30.469489
112.00	60.0	59.862846	30.469485
112.50	60.0	59.862842	30.469481
113.00	60.0	59.862838	30.469477
113.50	60.0	59.862833	30.469474
114.00	60.0	59.862829	30.469470
114.50	60.0	59.862825	30.469466
115.00	60.0	59.862821	30.469462
115.50	60.0	59.862817	30.469458
116.00	60.0	59.862813	30.469454
116.50	60.0	59.862809	30.469451
117.00	60.0	59.862805	30.469447
117.50	60.0	59.862801	30.469443
118.00	60.0	59.862797	30.469439
118.50	60.0	59.862793	30.469435
119.00	60.0	59.862789	30.469431
119.50	60.0	59.862785	30.469427
120.00	60.0	59.862781	30.469424
120.50	60.0	59.862777	30.469420
121.00	60.0	59.862772	30.469416
121.50	60.0	59.862768	30.469412
122.00	60.0	59.862764	30.469408
122.50	60.0	59.862760	30.469404
123.00	60.0	59.862756	30.469401
123.50	60.0	59.862752	30.469397
124.00	60.0	59.862748	30.469393
124.50	60.0	59.862744	30.469389
125.00	60.0	59.862740	30.469385
125.50	60.0	59.862736	30.469381
126.00	60.0	59.862732	30.469377
126.50	60.0	59.862728	30.469374
127.00	60.0	59.862724	30.469370
127.50	60.0	59.862720	30.469366
128.00	60.0	59.862716	30.469362
128.50	60.0	59.862711	30.469358
129.00	60.0	59.862707	30.469354
129.50	60.0	59.862703	30.469350
130.00	60.0	59.862699	30.469347
130.50	60.0	59.862695	30.469343
131.00	60.0	59.862691	30.469339
131.50	60.0	59.862687	30.469335
132.00	60.0	59.862683	30.469331
132.50	60.0	59.862679	30.469327
133.00	60.0	59.862675	30.469324
133.50	60.0	59.862671	30.469320
134.00	60.0	59.862667	30.469316
134.50	60.0	59.862663	30.469312
135.00	60.0	59.862659	30.469308
135.50	60.0	59.862655	30.469304
136.00	60.0	59.862650	30.469300
136.50	60.0	59.862646	30.469297
137.00	60.0	59.862642	30.469293
137.50	60.0	59.862638	30.469289
138.00	60.0	59.862634	30.469285
138.50	60.0	59.862630	30.469281
139.00	60.0	59.862626	30.469277
139.50	60.0	59.862622	30.469274
140.00	60.0	59.862618	30.469270
140.50	60.0	59.862614	30.469266
141.00	60.0	59.862610	30.469262
141.50	60.0	59.862606	30.469258
142.00	60.0	59.862602	30.469254
142.50	60.0	59.862598	30.469250
143.00	60.0	59.862593	30.469247
143.50	60.0	59.862589	30.469243
144.00	60.0	59.862585	30.469239
144.50	60.0	59.862581	30.469235
145.00	60.0	59.862577	30.469231
145.50	60.0	59.862573	30.469227
146.00	60.0	59.862569	30.469224
146.50	60.0	59.862565	30.469220
147.00	60.0	59.862561	30.469216
147.50	60.0	59.862557	30.469212
148.00	60.0	59.862553	30.469208
148.50	60.0	59.862549	30.469204
149.00	60.0	59.862545	30.469200
149.50	60.0	59.862541	30.469197
150.00	60.0	59.862537	30.469193
150.50	60.0	59.862532	30.469189
151.00	60.0	59.862528	30.469185
151.50	60.0	59.862524	30.469181
152.00	60.0	59.862520	30.469177
152.50	60.0	59.862516	30.469173
153.00	60.0	59.862512	30.469170
153.50	60.0	59.862508	30.469166
154.00	60.0	59.862504	30.469162
154.50	60.0	59.862500	30.469158
155.00	60.0	59.862496	30.469154
155.50	60.0	59.862492	30.469150
156.00	60.0	59.862488	30.469147
156.50	60.0	59.862484	30.469143
157.00	60.0	59.862480	30.469139
157.50	60.0	59.862476	30.469135
158.00	60.0	59.862471	30.469131
158.50	60.0	59.862467	30.469127
159.00	60.0	59.862463	30.469123
159.50	60.0	59.862459	30.469120
160.00	60.0	59.862455	30.469116
160.50	60.0	59.862451	30.469112
161.00	60.0	59.862447	30.469108
161.50	60.0	59.862443	30.469104
162.00	60.0	59.862439	30.469100
162.50	60.0	59.862435	30.469097
163.00	60.0	59.862431	30.469093
163.50	60.0	59.862427	30.469089
164.00	60.0	59.862423	30.469085
164.50	60.0	59.862419	30.469081
165.00	60.0	59.862415	30.469077
165.50	60.0	59.862410	30.469073
166.00	60.0	59.862406	30.469070
166.50	60.0	59.862402	30.469066
167.00	60.0	59.862398	30.469062
167.50	60.0	59.862394	30.469058
168.00	60.0	59.862390	30.469054
168.50	60.0	59.862386	30.469050
169.00	60.0	59.862382	30.469047
169.50	60.0	59.862378	30.469043
170.00	60.0	59.862374	30.469039
170.50	60.0	59.862370	30.469035
171.00	60.0	59.862366	30.469031
171.50	60.0	59.862362	30.469027
172.00	60.0	59.862358	30.469023
172.50	60.0	59.862354	30.469020
173.00	60.0	59.862349	30.469016
173.50	60.0	59.862345	30.469012
174.00	60.0	59.862341	30.469008
174.50	60.0	59.862337	30.469004
175.00	60.0	59.862333	30.469000
175.50	60.0	59.862329	30.468996
176.00	60.0	59.862325	30.468993
176.50	60.0	59.862321	30.468989
177.00	60.0	59.862317	30.468985
177.50	60.0	59.862313	30.468981
178.00	60.0	59.862309	30.468977
178.50	60.0	59.862305	30.468973
179.00	60.0	59.862301	30.468970
179.50	60.0	59.862297	30.468966
180.00	60.0	59.862292	30.468962
180.50	60.0	59.862288	30.468958
181.00	60.0	59.862284	30.468954
181.50	60.0	59.862280	30.468950
182.00	60.0	59.862276	30.468946
182.50	60.0	59.862272	30.468943
183.00	60.0	59.862268	30.468939
183.50	60.0	59.862264	30.468935
184.00	60.0	59.862260	30.468931
184.50	60.0	59.862256	30.468927
185.00	60.0	59.862252	30.468923
185.50	60.0	59.862248	30.468920
186.00	60.0	59.862244	30.468916
186.50	60.0	59.862240	30.468912
187.00	60.0	59.862236	30.468908
187.50	60.0	59.862231	30.468904
188.00	60.0	59.862227	30.468900
188.50	60.0	59.862223	30.468896
189.00	60.0	59.862219	30.468893
189.50	60.0	59.862215	30.468889
190.00	60.0	59.862211	30.468885
190.50	60.0	59.862207	30.468881
191.00	60.0	59.862203	30.468877
191.50	60.0	59.862199	30.468873
192.00	60.0	59.862195	30.468869
192.50	60.0	59.862191	30.468866
193.00	60.0	59.862187	30.468862
193.50	60.0	59.862183	30.468858
194.00	60.0	59.862179	30.468854
194.50	60.0	59.862175	30.468850
195.00	60.0	59.862170	30.468846
195.50	60.0	59.862166	30.468843
196.00	60.0	59.862162	30.468839
196.50	60.0	59.862158	30.468835
197.00	60.0	59.862154	30.468831
197.50	60.0	59.862150	30.468827
198.00	60.0	59.862146	30.468823
198.50	60.0	59.862142	30.468819
199.00	60.0	59.862138	30.468816
199.50	60.0	59.862134	30.468812
200.00	60.0	59.862130	30.468808
200.50	60.0	59.862126	30.468804
201.00	60.0	59.862122	30.468800
201.50	60.0	59.862118	30.468796
202.00	60.0	59.862114	30.468793
202.50	60.0	59.862109	30.468789
203.00	60.0	59.862105	30.468785
203.50	60.0	59.862101	30.468781
204.00	60.0	59.862097	30.468777
204.50	60.0	59.862093	30.468773
205.00	60.0	59.862089	30.468769
205.50	60.0	59.862085	30.468766
206.00	60.0	59.862081	30.468762
206.50	60.0	59.862077	30.468758
207.00	60.0	59.862073	30.468754
207.50	60.0	59.862069	30.468750
208.00	60.0	59.862065	30.468746
208.50	60.0	59.862061	30.468743
209.00	60.0	59.862057	30.468739
209.50	60.0	59.862053	30.468735
210.00	60.0	59.862048	30.468731
210.50	60.0	59.862044	30.468727
211.00	60.0	59.862040	30.468723
211.50	60.0	59.862036	30.468719
212.00	60.0	59.862032	30.468716
212.50	60.0	59.862028	30.468712
213.00	60.0	59.862024	30.468708
213.50	59.9	59.862020	30.468704
214.00	59.8	59.862016	30.468700
214.50	59.6	59.862012	30.468696
215.00	59.4	59.862008	30.468692
215.50	59.3	59.862004	30.468689
216.00	59.1	59.862000	30.468685
216.50	58.9	59.861996	30.468681
217.00	58.8	59.861992	30.468677
217.50	58.6	59.861987	30.468673
218.00	58.4	59.861983	30.468669
218.50	58.3	59.861979	30.468666
219.00	58.1	59.861975	30.468662
219.50	57.9	59.861971	30.468658
220.00	57.8	59.861967	30.468654
220.50	57.6	59.861963	30.468650
221.00	57.4	59.861959	30.468646
221.50	57.3	59.861955	30.468642
222.00	57.1	59.861951	30.468639
222.50	56.9	59.861947	30.468635
223.00	56.7	59.861943	30.468631
223.50	56.6	59.861939	30.468627
224.00	56.4	59.861935	30.468623
224.50	56.2	59.861930	30.468619
225.00	56.1	59.861926	30.468616
225.50	55.9	59.861922	30.468612
226.00	55.7	59.861918	30.468608
226.50	55.5	59.861914	30.468604
